ID;Kasutusotstarve;Kasutusotstarve_ID;Maakond;KOV;KOV_voi_LinnaOsa;Esmane_Kasutuselevotu_Aasta;Ajastu;;Hooneosade_Arv;Hooneosade_Arv_Normaliseeritud;Ruumide_Arv;Rummide_arv_vannitoata;Maksimaalne_Korruste_Arv
TP30;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere vald; Sõmeru alevik;1973;1971-1980;1950-1980;27;30;108;81;3
153;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere vald; Sõmeru alevik;1986;1981-1990;>1980;18;20;84;66;3
368;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Vinni vald; Piira küla;1982;1981-1990;>1980;21;20;105;84;3
161;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Vinni vald; Roela alevik;1972;1971-1980;1950-1980;12;10;48;36;2
2;Muu kolme või enama korteriga elamu;11222;Rapla maakond; Rapla vald; Rapla linn;1967;1961-1970;1950-1980;48;50;204;156;4
TP16;Muu kolme või enama korteriga elamu;11222;Rapla maakond; Märjamaa vald; Kasti küla;1982;1981-1990;>1980;18;20;84;66;3
150;Muu kolme või enama korteriga elamu;11222;Põlva maakond; Põlva vald; Põlva linn;1972;1971-1980;1950-1980;36;40;144;108;4
163;Muu kolme või enama korteriga elamu;11222;Valga maakond; Tõrva vald; Tõrva linn;1971;1971-1980;1950-1980;18;20;87;69;3
182;Muu kolme või enama korteriga elamu;11222;Valga maakond; Tõrva vald; Tõrva linn;1965;1961-1970;1950-1980;12;10;47;35;2
TP21;Muu kolme või enama korteriga elamu;11222;Valga maakond; Tõrva vald; Tõrva linn;1971 (2019);1971-1980;>1980;12;10;48;36;2
170;Muu kolme või enama korteriga elamu;11222;Valga maakond; Tõrva vald; Tõrva linn;1989;1981-1990;>1980;24;20;113;89;4
167;Muu kolme või enama korteriga elamu;11222;Viljandi maakond; Põhja-Sakala vald; Suure-Jaani linn;1999;1991-2000;>1980;12;10;64;52;2
TP35;Muu kolme või enama korteriga elamu;11222;Viljandi maakond; Viljandi linn; Viljandi linn;1982;1981-1990;>1980;18;20;87;69;3
67;Muu kolme või enama korteriga elamu;11222;Viljandi maakond; Viljandi linn; Viljandi linn;1982;1981-1990;>1980;18;20;84;66;3
TP31;Muu kolme või enama korteriga elamu;11222;Viljandi maakond; Viljandi vald; Päri küla;1973 (2017);1971-1980;>1980;12;10;58;46;2
60;Muu kolme või enama korteriga elamu;11222;Jõgeva maakond; Jõgeva vald; Siimusti alevik;1969;1961-1970;1950-1980;12;10;48;36;2
86;Muu kolme või enama korteriga elamu;11222;Harju maakond; Saue vald; Haiba küla;1985;1981-1990;>1980;18;20;84;66;3
255;Muu kolme või enama korteriga elamu;11222;Harju maakond; Kose vald; Ravila alevik;1973;1971-1980;1950-1980;18;20;87;69;3
82;Muu kolme või enama korteriga elamu;11222;Harju maakond; Kose vald; Kose alevik;1980;1971-1980;1950-1980;18;20;82;64;3
343;Muu kolme või enama korteriga elamu;11222;Harju maakond; Raasiku vald; Aruküla alevik;1977;1971-1980;1950-1980;18;20;84;66;3
4;Muu kolme või enama korteriga elamu;11222;Harju maakond; Rae vald; Jüri alevik;1986;1981-1990;>1980;18;20;85;67;3
7;Muu kolme või enama korteriga elamu;11222;Harju maakond; Viimsi vald; Viimsi alevik;1980;1971-1980;1950-1980;18;20;87;69;3
74;Muu kolme või enama korteriga elamu;11222;Harju maakond; Harku vald; Vääna küla;1988;1981-1990;>1980;12;10;58;46;2
TP38;Muu kolme või enama korteriga elamu;11222;Ida-Viru maakond; Toila vald; Voka alevik;1983;1981-1990;>1980;29;30;136;107;3
208;Muu kolme või enama korteriga elamu;11222;Pärnu maakond; Pärnu linn; Tõstamaa alevik;1981;1981-1990;>1980;18;20;85;67;3
28;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1977;1971-1980;1950-1980;55;60;235;180;5
248;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1968;1961-1970;1950-1980;55;60;235;180;5
303;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1965;1961-1970;1950-1980;80;80;339;259;5
347;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Ilmatsalu alevik;1982;1981-1990;>1980;24;20;116;92;3
268;Muu kolme või enama korteriga elamu;11222;Saare maakond; Saaremaa vald; Kärla alevik;1987;1981-1990;>1980;24;20;115;91;3
138;Muu kolme või enama korteriga elamu;11222;Järva maakond; Järva vald; Järva-Jaani alev;1982;1981-1990;>1980;24;20;104;80;3
275;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Kadrina vald; Kihlevere küla;1977;1971-1980;1950-1980;19;20;71;52;2
127;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Viru-Nigula vald; Kunda linn;1970;1961-1970;1950-1980;55;60;235;180;5
95;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere linn; Rakvere linn;1965;1961-1970;1950-1980;48;50;204;156;4
240;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere linn; Rakvere linn;1966;1961-1970;1950-1980;50;50;193;143;4
241;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere vald; Sõmeru alevik;1985;1981-1990;>1980;24;20;114;90;3
143;Muu kolme või enama korteriga elamu;11222;Rapla maakond; Kehtna vald; Kehtna alevik;1984;1981-1990;>1980;24;20;116;92;3
8;Muu kolme või enama korteriga elamu;11222;Rapla maakond; Rapla vald; Rapla linn;1989;1981-1990;>1980;24;20;115;91;3
159;Muu kolme või enama korteriga elamu;11222;Põlva maakond; Põlva vald; Põlva linn;1980;1971-1980;1950-1980;24;20;116;92;3
123;Muu kolme või enama korteriga elamu;11222;Põlva maakond; Põlva vald; Põlva linn;1968;1961-1970;1950-1980;55;60;235;180;5
76;Muu kolme või enama korteriga elamu;11222;Valga maakond; Valga vald; Valga linn;1992;1991-2000;>1980;30;30;137;107;3
188;Muu kolme või enama korteriga elamu;11222;Valga maakond; Tõrva vald; Tõrva linn;1980;1971-1980;1950-1980;32;30;155;123;4
109;Muu kolme või enama korteriga elamu;11222;Viljandi maakond; Põhja-Sakala vald; Olustvere alevik;1988;1981-1990;>1980;24;20;104;80;3
90;Muu kolme või enama korteriga elamu;11222;Viljandi maakond; Viljandi vald; Viiratsi alevik;1984;1981-1990;>1980;24;20;109;85;3
233;Muu kolme või enama korteriga elamu;11222;Viljandi maakond; Viljandi linn; Viljandi linn;1971;1971-1980;1950-1980;55;60;233;178;5
63;Muu kolme või enama korteriga elamu;11222;Viljandi maakond; Viljandi linn; Viljandi linn;1985;1981-1990;>1980;60;60;269;209;5
41;Muu kolme või enama korteriga elamu;11222;Võru maakond; Võru vald; Sõmerpalu alevik;1989;1981-1990;>1980;24;20;110;86;3
94;Muu kolme või enama korteriga elamu;11222;Harju maakond; Kose vald; Kose-Uuemõisa alevik;1984;1981-1990;>1980;24;20;116;92;3
202;Muu kolme või enama korteriga elamu;11222;Harju maakond; Raasiku vald; Aruküla alevik;1980;1971-1980;1950-1980;24;20;116;92;3
196;Muu kolme või enama korteriga elamu;11222;Harju maakond; Rae vald; Vaida alevik;1988;1981-1990;>1980;24;20;116;92;3
189;Muu kolme või enama korteriga elamu;11222;Saare maakond; Saaremaa vald; Kuressaare linn;1986;1981-1990;>1980;30;30;136;106;3
359;Muu kolme või enama korteriga elamu;11222;Põlva maakond; Põlva vald; Põlva linn;1977;1971-1980;1950-1980;30;30;147;117;3
117;Muu kolme või enama korteriga elamu;11222;Võru maakond; Võru linn; Võru linn;1968;1961-1970;1950-1980;70;70;295;225;5
238;Muu kolme või enama korteriga elamu;11222;Harju maakond; Kose vald; Kose-Uuemõisa alevik;1979;1971-1980;1950-1980;30;30;148;118;3
312;Muu kolme või enama korteriga elamu;11222;Valga maakond; Tõrva vald; Linna küla;1980;1971-1980;1950-1980;34;30;75;41;4
191;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1970;1961-1970;1950-1980;85;90;271;186;5
65;Muu kolme või enama korteriga elamu;11222;Saare maakond; Saaremaa vald; Kuressaare linn;1988;1981-1990;>1980;48;50;234;186;4
20;Muu kolme või enama korteriga elamu;11222;Põlva maakond; Põlva vald; Põlva linn;1970;1961-1970;1950-1980;90;90;360;270;5
304;Muu kolme või enama korteriga elamu;11222;Viljandi maakond; Viljandi linn; Viljandi linn;1969;1961-1970;1950-1980;85;90;354;269;5
363;Muu kolme või enama korteriga elamu;11222;Viljandi maakond; Viljandi linn; Viljandi linn;1970;1961-1970;1950-1980;85;90;354;269;5
284;Muu kolme või enama korteriga elamu;11222;Viljandi maakond; Viljandi linn; Viljandi linn;1975;1971-1980;1950-1980;85;90;355;270;5
152;Muu kolme või enama korteriga elamu;11222;Jõgeva maakond; Jõgeva vald; Jõgeva linn;1981;1981-1990;>1980;36;40;180;144;3
311;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1973;1971-1980;1950-1980;95;100;408;313;5
272;Muu kolme või enama korteriga elamu;12339;Saare maakond; Saaremaa vald; Kuressaare linn;1972;1971-1980;1950-1980;85;90;354;269;5
140;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1971;1971-1980;1950-1980;115;120;475;360;5
151;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1972;1971-1980;1950-1980;115;120;474;359;5
186;Muu kolme või enama korteriga elamu;11222;Rapla maakond; Rapla vald; Alu alevik;1977;1971-1980;1950-1980;60;60;288;228;2
100;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Nõmme linnaosa;1978;1971-1980;1950-1980;19;20;136;117;4
246;Ühiselamu üliõpilastele või õpilastele;12744;Harju maakond; Tallinn; Nõmme linnaosa;1984;1981-1990;>1980;64;60;217;153;5
99;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Nõmme linnaosa;1970;1961-1970;1950-1980;12;10;51;39;3
276;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1972;1971-1980;1950-1980;162;160;756;594;9
379;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Põhja-Tallinna linnaosa;1959;1951-1960;1950-1980;24;20;95;71;4
149;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1970;1961-1970;1950-1980;54;50;270;216;10
98;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kesklinna linnaosa;1958;1951-1960;1950-1980;18;20;72;54;3
297;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Põhja-Tallinna linnaosa;1938;1931-1940;<1950;12;10;57;45;3
280;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Nõmme linnaosa;1989;1981-1990;>1980;33;30;135;102;7
198;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Põhja-Tallinna linnaosa;1968;1961-1970;1950-1980;18;20;72;54;3
21;Muu kolme või enama korteriga elamu;12132;Harju maakond; Tallinn; Kesklinna linnaosa;1983;1981-1990;>1980;50;50;214;164;5
193;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kristiine linnaosa;1963;1961-1970;1950-1980;32;30;131;99;4
339;Muu kolme või enama korteriga elamu;12749;Harju maakond; Tallinn; Kristiine linnaosa;1980;1971-1980;1950-1980;60;60;205;145;5
338;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kesklinna linnaosa;1926;1921-1930;<1950;10;10;68;58;5
TP15;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Nõmme linnaosa;1985;1981-1990;>1980;56;60;260;204;7
48;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Mustamäe linnaosa;1981;1981-1990;>1980;28;30;126;98;7
344;Muu kolme või enama korteriga elamu;11222;Harju maakond; Tallinn; Kristiine linnaosa;1964;1961-1970;1950-1980;48;50;204;156;4
